,"Hole Depth,ft","Rate Of Penetration,ft/hr","Rotary RPM,rev/min","Rotary Torque,in/lb","Weight on Bit,kDaN","Differential Pressure,kPa","Gamma,API","Inclination,degree"
353,1857,306.0,62.95,13.162,8.7,5419.7,57.35,1.1
354,1858,358.05,64.57,16.608,8.4,5419.7,9.89,1.1
355,1859,378.97,64.21,16.834,10.4,5768.5,9.89,1.1
356,1860,368.99,58.73,11.637,10.4,5405.2,7.91,1.1
357,1861,296.79,65.57,18.077,10.1,5766.9,7.91,1.1
358,1862,276.57,66.1,18.698,9.9,5689.5,5.93,1.1
359,1863,301.21,64.21,7.852,9.6,5112.3,5.93,1.1
360,1864,392.82,59.63,12.371,10.1,5491.7,11.87,1.1
361,1865,424.26,61.05,15.648,9.6,5576.9,11.87,1.1
362,1866,425.45,65.52,15.648,12.1,5977.4,7.91,1.1
363,1867,434.17,67.3,15.139,12.1,5763.1,9.89,1.1
364,1868,419.36,65.96,12.484000000000002,10.8,6283.0,9.89,1.1
365,1869,314.26,67.75,16.552,10.0,6010.6,7.91,1.1
366,1870,242.23,67.75,16.834,10.8,6555.3,7.91,1.1
367,1871,255.04,65.8,21.24,11.5,6788.1,9.89,1.1
368,1872,254.99,63.45,18.811,11.3,6421.4,9.89,1.1
369,1873,295.79,68.31,7.852,10.2,4332.7,5.93,1.1
370,1874,404.69,70.54,13.106,10.2,5235.9,5.93,1.1
371,1875,99.64,70.96,13.332,8.0,4049.3,5.93,1.1
372,1876,282.57,72.19,15.874,9.2,5375.8,5.93,1.1
373,1878,369.92,73.89,14.744000000000002,9.8,5404.8,7.91,1.1
374,1880,350.96,69.31,17.907,10.7,6132.8,5.93,1.1
375,1881,372.2,75.15,16.269000000000002,10.5,6133.7,11.87,1.1
376,1882,381.36,75.15,17.06,10.5,5744.6,7.91,1.1
377,1883,381.31,71.83,11.129,11.5,5408.4,3.96,1.1
378,1884,71.1,72.41,6.892,8.0,2261.6,5.93,1.5
379,1885,133.73,69.48,6.27,6.9,2720.9,5.93,1.5
380,1886,180.48,72.64,11.524,7.9,3769.3,5.93,1.5
381,1887,228.13,70.35,10.055,7.9,3769.3,5.93,1.5
382,1888,273.88,66.52,17.342,10.1,4279.2,11.87,1.5
383,1889,307.9,71.55,17.342,10.8,4817.2,11.87,1.5
384,1890,342.51,71.55,17.06,10.7,5252.3,7.91,1.5
385,1891,389.06,70.12,13.727,11.4,5188.4,31.64,1.5
386,1892,399.45,63.51,14.236,11.2,5087.1,41.53,1.5
387,1893,383.42,67.36,19.32,11.2,4915.5,49.44,1.5
388,1894,371.67,72.16,14.857,10.4,4331.0,21.75,1.5
389,1895,381.02,72.36,12.032,10.3,4172.1,9.89,1.5
390,1896,321.7,65.74,11.242,9.2,4081.1,5.93,1.5
391,1897,351.19,68.9,11.524,10.7,4511.2,5.93,1.5
392,1898,352.71,73.89,13.727,10.7,4454.1,5.93,1.5
393,1899,289.4,73.33,13.388,10.4,4661.8,5.93,1.5
394,1900,346.01,66.83,15.083,10.6,4665.9,7.91,1.5
